"Sequence No." "V" "D" "air density" "Humidity" "I" "S_a" "S_b" "y (% relative to rated power)"
"135" 9.36938 145.1336 1.22040123506811 60.006132 0.10719951586978 0.471060534293112 0.182112508638255 53.3766666666667
"136" 9.721454 146.3707 1.22076790723834 60.138839 0.0918727075188547 0.387779598426052 0.24625420974031 37.4466666666667
"137" 7.689272 142.216 1.2212825136085 61.024151 0.104488435316113 0.424621570374329 0.0561023740259882 31.0366666666667
"138" 6.186605 136.3342 1.22186500490905 62.125486 0.19467381544482 0.453525289508158 0.124856842928492 19.0433333333333
"139" 6.110772 134.6529 1.22201735636889 63.321841 0.189217008914749 0.404152493702937 0.0529438845264125 22.3266666666667
"140" 5.779982 132.3826 1.22226201176804 63.731666 0.182017002821116 0.4882972919419 0.029111636695025 21.5533333333333
"141" 6.286961 137.0064 1.22259152693512 64.359698 0.164108859590508 0.296388437826797 0.0484333667127292 21.23
"142" 6.064066 135.4899 1.22267545263745 63.655692 0.152401111729325 0.442362626543746 0.0154759056675203 26.7333333333333
"143" 5.812076 134.6641 1.22280172001966 64.326571 0.169578959394199 0.535995916971599 0.0310325231815067 28.46
"144" 5.506067 132.5325 1.22313672275139 65.296189 0.19636030582265 0.566631753602271 0.0184954271353828 25.44
"145" 5.868518 137.2978 1.22301779201113 64.804239 0.195850979753321 0.443814300584341 0.0642121258789339 19.3466666666667
"146" 6.199965 138.8406 1.2234528561373 65.612981 0.144873156542013 0.287471945980912 0.00955561472147648 19.6233333333333
"147" 5.588845 136.77 1.22405525064692 66.545904 0.201558640470437 0.435812481763147 0.0865988007696445 14.0966666666667
"148" 5.352541 136.0792 1.22511070460299 66.467747 0.160213102524577 0.472410414337305 0.0076221761958447 13.0833333333333
"149" 4.064476 133.0339 1.2267237944028 70.884989 0.159969034138718 0.659741851495437 0.00822385268871923 11.2466666666667
"150" 4.99171 138.0149 1.22652873746826 69.697563 0.168522129691028 0.473156948588375 0.060382718241167 10.07
"151" 5.283092 139.8461 1.226442403752 69.528553 0.181106461897692 0.374222903468229 0.0691037684941737 12.1233333333333
"152" 5.33007 140.0986 1.22620525266651 69.567632 0.175506738185427 0.374121935020349 0.100816894205791 10.4733333333333
"153" 5.949499 143.8447 1.22603413327845 70.184752 0.185740681694375 0.140086993977649 0.139707292039204 12.02
"154" 6.988285 148.4806 1.22604078549428 68.696601 0.0435376204605279 0.09632504382187 0.241680509446312 12.8633333333333
"155" 6.258235 155.701 1.22629257618595 69.676338 0.0500241361981453 0.285220326234291 0.249821068400431 10.1433333333333
"156" 5.833392 158.6207 1.22678942942574 70.783226 0.0266408120695472 0.234512637229857 0.34149046956892 8.54
"157" 5.81182 159.5434 1.22705214709293 72.000012 0.0701807695351886 0.155319723632151 0.352125889526723 7.67333333333333
"158" 5.182415 169.9178 1.22782068952056 74.017209 0.0742663217824123 0.311595963900282 0.248708645606346 3.62
"159" 4.796515 182.8753 1.22882059466316 77.604879 0.0665674348980458 0.291358215647334 0.183512112511959 4.38333333333333
"160" 5.227677 187.458 1.2302595801129 79.754783 0.0462959742922143 0.242629417573708 0.176074901673006 7.45
"161" 5.682593 185.4888 1.23091967679754 81.109432 0.0660826668388885 0.121149589067661 0.130969443759413 10.6533333333333
"162" 5.799454 185.2414 1.23203559084368 82.523793 0.0401381061044712 0.000600398850948518 0.0455571297547906 7.62333333333333
"163" 5.543182 186.383 1.23277918692551 83.930614 0.0274847010255121 0.0095045025991642 0.0140532256460992 5.67
"164" 5.25844 195.2711 1.23387613019598 85.822245 0.0690817238572656 0.0352611527897424 0.0170921638403402 6.71
"165" 5.328467 200.5891 1.23438911569211 87.329237 0.0487939214036607 0.0619622137097871 0.0578095154331521 7.06
"166" 5.307536 203.9575 1.23457442960527 88.110211 0.0543882132876725 0.093371630316817 0.0588183123897909 3.91666666666667
"167" 4.766394 208.2575 1.23473738652104 88.497623 0.0523499316254594 0.17777438492672 0.0841960869316595 1.57666666666667
"168" 4.30989 272.476 1.23915712147046 96.229186 0.0460095501277295 0.0206398564785962 0.000792632403350132 1.26333333333333
"169" 4.40704 178.9788 1.23948684800576 80.6639 0.0199096717978507 0.463046775849584 0.293530513306983 1.24333333333333
"170" 4.6887 177.8139 1.23904801461651 80.592886 0.0287913494145499 0.432670388953929 0.345901978572162 3.90333333333333
"171" 5.019474 177.292 1.23919085463787 81.682122 0.0398157257114989 0.433559910018609 0.303136783739086 3.79666666666667
"172" 4.822338 168.6952 1.24097367463383 85.714333 0.0525051126652673 0.475987650215231 0.206560632089248 3.98333333333333
"173" 4.82229 164.5048 1.24058576271769 85.931743 0.0447052956168128 0.378727131978662 0.179318895738527 4.33333333333333
"174" 5.037454 170.622 1.23983455758427 80.688893 0.0398922947981262 0.206903926243851 0.168628273757302 2.50333333333333
"175" 4.775343 168.7839 1.23902086831226 76.177033 0.0305519833863243 0.185063396713638 0.248046313182231 1.39666666666667
"176" 4.565055 164.2027 1.23766396029306 68.490498 0.0198183548719566 0.185125640535004 0.380717974774522 1.14333333333333
"177" 4.21481 158.285 1.23796026173791 69.322649 0.0405566087202033 0.311348396905559 0.471391854851179 1.83666666666667
"178" 4.419469 157.8055 1.23812682096725 66.636954 0.031232598305362 0.162797454551064 0.410175241724388 2.41666666666667
"179" 4.351014 149.422 1.23841512971543 74.835671 0.0370905494673196 0.305143906150095 0.44230325875264 1.77
"180" 4.31321 155.3308 1.23898155435064 78.6471 0.0517722763324763 0.251963340033437 0.453771805909199 1.12666666666667
"181" 4.419629 159.9316 1.23915816901986 80.557576 0.0479679402954411 0.423698772114551 0.312528426366147 1.00666666666667
"182" 3.843265 149.4191 1.23970346188195 81.854898 0.105525328073916 0.576424323269694 0.316111602480031 1.98
"183" 4.221659 153.8019 1.23953788660776 80.645055 0.0574012254424149 0.466979534989511 0.413030591760607 2.06666666666667
"184" 4.420624 155.3321 1.23974134817202 81.209807 0.0327779517099848 0.522275278604616 0.431795620773028 3.77
"185" 4.788447 157.4518 1.23888184710944 78.469366 0.0398280486345573 0.222038198900559 0.546656617543433 1.51666666666667
"186" 4.47235 151.8097 1.23890096895255 78.601676 0.0562004315404653 0.489167017846955 0.527472062096851 2.56
"187" 4.192564 150.6724 1.23798134997885 75.78585 0.0774009651373241 0.430554695345074 0.426597318069568 1.49333333333333
"188" 3.953069 141.8456 1.24040988670969 77.37517 0.198083994992245 0.923474057524422 0.183731783030652 3.00666666666667
"189" 3.925145 141.5631 1.2407815343968 78.044659 0.201280462250439 0.90659873594648 0.107228401450961 2.50666666666667
"190" 4.172515 146.0604 1.24365297428916 81.095747 0.146260085344211 0.554204543197954 0.340919861902479 2.67333333333333
"191" 4.837816 151.3336 1.24310912728695 80.124543 0.0507384737245071 0.0793436118662764 0.462921866294377 2.34666666666667
"192" 4.653639 153.8886 1.24341852768175 80.786889 0.0529352190833883 0.22150576508746 0.37178882167511 2.80666666666667
"193" 4.544172 155.9466 1.24460617741549 82.392671 0.0518064897191392 0.287008539607036 0.454755795264473 4.96333333333333
"194" 5.262177 160.8801 1.24406906426812 81.828712 0.0265023772480477 0.106621198328212 0.319066011701485 2.86333333333333
"195" 4.165025 162.0885 1.24420132284675 82.892756 0.0472974111800049 0.272673088715566 0.0512886403574166 1.19
"196" 4.308783 164.276 1.24444595451849 83.511661 0.0719745691532853 0.0975978227923272 0.0265282590474951 1.61333333333333
"197" 4.47599 27.06958 1.23420568200073 66.204117 0.157161923954254 0.609016420613746 0.0409163487523846 14.1366666666667
"198" 4.978847 29.96215 1.23529146273376 67.594076 0.17736273076879 0.341516737556887 0.173428059754662 18.3433333333333
"199" 5.798652 30.68158 1.23381469229184 66.778985 0.147880766081496 0.0439225419229604 0.132614599819038 17.91
"200" 5.914454 30.82273 1.23305730005833 65.306505 0.126375367869967 0.195539620594591 0.14189140570449 18.2166666666667
"201" 5.868582 30.64439 1.23403968915109 64.942302 0.137880138677452 0.135047117242321 0.153867210000237 19.23
"202" 6.285582 31.65752 1.23323592622672 64.222229 0.103265632363081 0.1026170262032 0.0757004419711811 18.5733333333333
"203" 6.434873 31.40219 1.23296557886518 65.064895 0.0775250109831228 0.11030730648063 0.0232780621437103 17.5233333333333
"204" 6.537684 32.76349 1.23334891492956 65.721886 0.0489400680730363 0.0725106825441729 0.0395558325707695 14.6833333333333
"205" 6.331181 38.87153 1.23337140886297 66.67385 0.0731861875375226 0.128325595024193 0.0616400068072319 13.2533333333333
"206" 5.407106 42.19732 1.23371450791575 67.172743 0.0719361706613482 0.276409792074511 0.0279582118169245 11.2066666666667
"207" 6.178745 47.41044 1.23286387932162 66.535986 0.0877622397428604 0.259469823401791 0.135887838829159 10.3033333333333
"208" 4.725959 77.82569 1.23332870986674 64.754249 0.0897879351048115 0.379326967762502 0.130900272907309 5.22
"209" 5.52193 79.79453 1.23381844263827 64.557866 0.0714192863726994 0.240997868189779 0.286091257971387 10.6
"210" 6.203847 79.56611 1.23405541862685 65.605444 0.0586198370140334 0.112391915159003 0.267255920486989 9.32333333333333
"211" 6.25623 78.78097 1.23436472963794 66.093428 0.0459452098148566 0.121319478632873 0.223996154985338 6.25333333333333
"212" 5.835413 79.49534 1.23458307476727 66.900386 0.0441174600666654 0.235167984075375 0.110139484642724 9.31666666666667
"213" 5.977279 78.92975 1.23466338016489 67.503422 0.0462820959168879 0.249653691532229 0.13684526072063 7.14
"214" 6.27899 80.6509 1.23574614159527 68.289948 0.0668609601225675 0.265015329936087 0.175104696339098 6.21
"215" 6.330122 83.87637 1.23560299744848 68.945751 0.0517322572929874 0.221163297015644 0.184959690393884 8.38666666666667
"216" 5.995114 86.07834 1.23607601500517 69.41469 0.0629250753196686 0.119603553387322 0.131774281152992 11.1733333333333
"217" 5.788162 87.77748 1.23741753228999 70.224822 0.0885036562556473 0.181713949141502 0.116216054652705 14.05
"218" 5.259884 90.50127 1.23774096996732 70.937755 0.111528029895716 0.471543192866831 0.156782876578896 14.2133333333333
"219" 5.940822 91.96418 1.23795526909294 70.554312 0.104547922829534 0.364222775541685 0.2554186317649 13.54
"220" 6.345279 92.02834 1.23841549881955 70.25676 0.0706789725085375 0.283156332721274 0.256785082722456 19.7433333333333
"221" 7.032842 91.40881 1.23873665303066 68.391712 0.0712143255884321 0.259446497671758 0.289085195810272 18.46
"222" 7.16526 92.20498 1.23921193852311 67.617881 0.109426692122826 0.158872030932746 0.284132123903636 17.2733333333333
"223" 6.245083 96.10537 1.2401074680554 67.979503 0.159178637017314 0.277617259263335 0.153661193855431 19.24
"224" 5.971569 97.76655 1.23984004196664 70.420215 0.174712876967511 0.223284871699713 0.00780639728463433 15.4633333333333
"225" 4.244194 106.3247 1.24153083575142 71.733406 0.185334365017245 0.998846440371806 0.0670464002891423 16.28
"226" 4.558383 108.3909 1.24208977022836 71.774865 0.192031209312601 1.08419232456566 0.172660150035234 15.1333333333333
"227" 4.956842 111.6995 1.24164230253747 71.969463 0.16944679697275 1.02578151743516 0.0894049909900449 15.81
"228" 5.111169 112.7057 1.24136260495343 72.319779 0.175564181110036 1.00118890296388 0.0582958709411514 14.4666666666667
"229" 3.668536 131.262 1.24285564939262 70.928233 0.113161926174365 0.726803474827459 0.00903255430690269 11.02
"230" 4.176669 134.3713 1.24359632173281 70.192092 0.127240248149901 0.574625322739077 0.0373667005150987 12.1433333333333
"231" 3.766182 137.4413 1.24368213431611 68.705924 0.11665809034189 1.18595866202706 0.0721250369241824 7.3
"232" 4.411626 142.5149 1.24366828541172 69.465076 0.175555974146494 0.919884470782432 0.146994203830978 7.89333333333333
"233" 5.05808 144.946 1.24344001097249 68.44408 0.126748509315788 0.495930073747164 0.289501713401383 6.54666666666667
"234" 5.819903 148.043 1.24323401870129 67.034085 0.0636733808106424 0.163757226898083 0.436307745856233 7.55
"235" 6.002701 150.0033 1.24339337614891 65.947629 0.0303357272001387 0.138839056798865 0.502296941552949 8.22666666666667
"236" 6.072374 149.1368 1.2448531701787 66.687934 0.0703599778274527 0.155554540806449 0.482714326491092 5.96333333333333
